Sr No,Asset Type,Brand,Model,Power on (Yes/No),Accessories,CPU Speed,Manufacturer,Ram,Ram Type,Slots Qty,HDD Size,Display Size,Integrated WebCam (Y/N),Battery ,Wifi (Y/N),"Physical Damage (Yes/No), If Yes, Mention What","Functional Issues (Yes/No), If Yes, Mention what",Repairable (Yes/No),Additional Remarks,Price,
1,WINDOWS,DELL,5300,YES,,I5 8TH,INTEL,16 GB,DDR-4,2,256 SSD,"14""",YES,GOOD,YES,OK,OK,YES,OK,,
2,WINDOWS,DELL,5400,YES,,I5 8TH,INTEL,16 GB,DDR-4,2,256 SSD,"14""",YES,EXCELENT,YES,OK,OK,YES,OK,,
3,WINDOWS,DELL,5440,YES,,I5 4TH,INTEL,4 GB,DDR-3,2,500 GB,"14""",YES,POOR,YES,SCREEN LINE,SCREEN LINE,YES,SCREEN LINE,,
4,WINDOWS,DELL,5440,YES,,I5 4TH,INTEL,4 GB,DDR-3,2,500 GB,"14""",YES,FAIR,YES,SCRREN LINE,SCREEN LINE,YES,SCREEN LINE,,
5,WINDOWS,DELL,5440,NO,,NO CHWCK,INTEL,NO RAM,DDR-3,2,NO HDD,"14""",YES,NO CHECK,YES,NO DISPLY ,NOT ON,YES,NO RAM NO HDD,,
6,WINDOWS,DELL,5480,YES,,NO CHWCK,NO CHWCK,NO CHECK,DDR-4,2,NO CHECK,"14""",YES,NO CHECK,YES,POWER ON BUT NO DISPLY,ONE TIME DISPLY TEN NO DISPLY,YES,NO DISPLY,,
7,WINDOWS,DELL,5480,YES,,I5 7TH,I5 7TH,8 GB,DDR-4,2,256 SSD,"14""",YES,EXCELENT,YES,KBD ISSUE,KBD ISSUE,YES,KBD ISSUE,,
8,WINDOWS,DELL,5480,YES,,I5 8TH,I5 8TH,8 GB,DDR-4,2,500 GB,"14""",YES,EXCELENT,YES,OK,OK,YES,OK,,
9,WINDOWS,DELL,5480,YES,,I5 7TH,I5 7TH,8 GB,DDR-4,2,256 SSD,"14""",YES,EXCELENT,YES,DISPLY PANAL DAMEGE&KBD PANAL DAMEGE,DISPLY PANAL DAMEGE KBD PANAL DAMEGE,YES,DISPLY PANAL DAMEGE,,
10,WINDOWS,DELL,5480,NO,,NO CHWCK,NO CHWCK,NO CHECK,DDR-4,2,NO CHECK,"14""",YES,NO CHECK,YES,NO DISPLY ,NOT ON,YES,NO DISPLY,,
11,WINDOWS,DELL,5480,NO,,NO CHWCK,NO CHWCK,NO CHECK,DDR-4,2,NO CHECK,"14""",YES,NO CHECK,YES,NO DISPLY ,NOT ON,YES,NO DISPLY,,
12,WINDOWS,DELL,5480,NO,,NO CHWCK,NO CHWCK,NO CHECK,DDR-4,2,NO CHECK,"14""",YES,NO CHECK,YES,NO DISPLY ,NOT ON,YES,NO DISPLY,,
13,WINDOWS,DELL,5480,YES,,NO CHWCK,NO CHWCK,NO CHECK,DDR-4,2,NO CHECK,"14""",YES,NO CHECK,YES,HANGING PROBLAM,HANGING PROBLAM,YES,HANGING,,
14,WINDOWS,DELL,5480,YES,,I5 7TH,I5 7TH,8 GB,DDR-4,2,256 SSD,"14""",YES,POOR,YES,KBD KEYS MISSING,KBD ISSUE,YES,KBD ISSUE,,
15,WINDOWS,DELL,5480,YES,,I5 7TH,I5 7TH,8 GB,DDR-4,2,NO HDD,"14""",YES,EXCELENT,YES,OK,OK,YES,OK,,
16,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,256 SSD,"14""",YES,POOR,YES,OK,OK,YES,OK,,
17,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,256 GB,"14""",YES,POOR,YES,OK,CPU FAN NOICE,YES,FAN ISSUE,,
18,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,500 GB,"14""",YES,EXCELENT,YES,"DISPLY PANAL DAMEGE,C, D PANAL DAMEGE","A,C,D, PANAL DAMEGE",YES,PANAL DAMEGE,,
19,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,256 SSD,"14""",YES,EXCELENT,YES,WHITE DOTS,WHITE DOTS,YES,WHITE DOTS,,
20,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,500 GB,"14""",YES,POOR,YES,OK,OK,YES,OK,,
21,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,256 SSD,"14""",YES,EXCELENT,YES,OK,OK,YES,OK,,
22,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,500 GB,"14""",YES,EXCELENT,YES,KBD PANAL DAMEGE,WHITE DOTS,YES,WHITE DOTS,,
23,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,500 GB,"14""",YES,GOOD,YES,DISPLY PANAL DAMEGE,DISPLY PANAL DAMEGE,YES,DISPLY PANAL DAMEGE,,
24,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,256 SSD,"14""",YES,FAIR,YES,OK,OK,YES,OK,,
25,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,500 GB,"14""",YES,EXCELENT,YES,WHITE DOTS,WHITE DOTS,YES,WHITE DOTS,,
26,WINDOWS,DELL,5490,YES,,NO CHWCK,INTEL,NO CHECK,DDR-4,2,NO CHECK,"14""",YES,NO CHECK,YES,SCREEN DAMEGE,SCREEN DAMEGE,YES,SCREEN DAMEGE,,
27,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,256 SSD,"14""",YES,EXCELENT,YES,OK,OK,YES,OK,,
28,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,256 SSD,"14""",YES,GOOD,YES,KBD ISSUE,KBD ISSUE,YES,KBD ISSUE,,
29,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,256 SSD,"14""",YES,FAIR,YES,OK,OK,YES,OK,,
30,WINDOWS,DELL,5490,NO,,NO CHWCK,INTEL,NO CHECK,DDR-4,2,NO CHECK,"14""",YES,NO CHECK,YES,NO DISPLY ,NOT ON,YES,NO DISPLY,,
31,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,500 GB,"14""",YES,NO BATTRY,YES,HINZ BROKEN,HINZ BROKEN,YES,HINZ BROKEN,,
32,WINDOWS,DELL,7290,YES,,NO CHWCK,INTEL,NO CHECK,DDR-4,2,NO CHECK,"12.5""",YES,NO CHECK,YES,HANGING PROBLAM,HANGING PROBLAM,YES,HANGING,,
33,WINDOWS,DELL,7290,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,256 SSD,"13""",YES,FAIR,YES,OK,OK,YES,OK,,
34,WINDOWS,DELL,7520,YES,,I7 7TH,INTEL,32 GB,DDR-4,2,512 SSD,"15.6""",YES,FAIR,YES,OK,OK,YES,OK,,
35,WINDOWS,DELL,7720,YES,,I7 7TH,INTEL,32 GB,DDR-4,2,500 GB,"17""",YES,EXCELENT,YES,OK,OK,YES,OK,,
36,WINDOWS,DELL,7730,YES,,I7 8TH,INTEL,64 GB,DDR-4,2,256 SSD,"17""",YES,GOOD,YES,OK,OK,YES,OK,,
37,WINDOWS,DELL,E5550,YES,,I5 5TH,INTEL,4 GB,DDR-3,2,500 GB,"15.6""",YES,POOR,YES,OK,OK,YES,OK,,
38,WINDOWS,DELL,E5550,YES,,I5 5TH,INTEL,4 GB,DDR-3,2,500 GB,"15.6""",YES,EXCELENT,YES,OK,OK,YES,OK,,
39,WORKSTATION,DELL,DELL 5810,YES,,XEON ES-1650,INTEL,16 GB,,,256 SSD,,,,,,OK,,,,
40,WORKSTATION,DELL,DELL 5820,YES,,XEON W-2125,INTEL,16 GB,,,NO HDD,,,,,,OK,,,,
41,WORKSTATION,DELL,DELL 7010,YES,,I3 3RD,INTEL,4 GB,,,500 GB,,,,,,OK,,,,
42,DESKTOP,DELL,DELL 7020,YES,,I3 4TH,INTEL,4 GB,,,500 GB,,,,,,OK,,,,
43,DESKTOP,DELL,DELL 790,YES,,I3 2ND,INTEL,4 GB,,,250 GB,,,,,,OK,,,,
44,DESKTOP,DELL,OPTIPLEX 5050,YES,,I3 7TH,,8 GB,,,NO HDD,,,,,,OK,,,,
45,DESKTOP,DELL,OPTIPLEX 5050,YES,,I3 7TH,,8 GB,,,256 GB SSD,,,,,,OK,,,,
46,DESKTOP,DELL,OPTIPLEX 5070,YES,,I5 9TH,,16 GB,,,256 GB SSD,,,,,,OK,,,,
